"EnsemblID","Symbol","gene_type","logFC","AveExpr","t","P.Value","adj.P.Val","B","mean_logCPM_Tumor","mean_logCPM_Normal"
"ENSG00000127580.15","WDR24","protein_coding",0.326322748516034,4.03728020221755,4.67538677028107,3.68509261570436e-06,8.61367850785908e-06,2.81815442628731,4.0795995115011,3.68990204604568
"ENSG00000160886.13","LY6K","protein_coding",2.07877227638815,1.76148901215177,4.67524821975322,3.68748718640325e-06,8.61859521912487e-06,3.11728027996425,2.00512567576971,0.110242780499891
"ENSG00000260604.2","RP1-140K8.5","lincRNA",1.53112258408675,-1.19786189058664,4.67409862368995,3.70741344532919e-06,8.66448393293465e-06,3.31854868394048,-0.876167213942809,-2.22537419862518
"ENSG00000178860.8","MSC","protein_coding",0.811323669717772,2.29786167601821,4.67379704761294,3.71265785806816e-06,8.67605561180566e-06,3.03429351330138,2.37920815530842,1.68407670149707
"ENSG00000111647.12","UHRF1BP1L","protein_coding",-0.312783524885281,3.95876137587514,-4.6736098529427,3.71591676254216e-06,8.68298592516362e-06,2.76841902172565,3.91405953096941,4.37240091330541
"ENSG00000266978.1","CTD-2369P2.5","antisense",-0.5012571011957,3.63230210483163,-4.67287695167888,3.72870244521765e-06,8.71217461866576e-06,2.79574699088919,3.5828584806862,4.09551848650196
"ENSG00000140939.14","NOL3","protein_coding",0.510930924165137,4.8264148004358,4.67173258172305,3.74875092455069e-06,8.75832701012057e-06,2.73938871389997,4.90257405974721,4.17547370293499
"ENSG00000132423.11","COQ3","protein_coding",0.420987382648336,2.07960719184196,4.67156156374178,3.75175591274451e-06,8.76465600510644e-06,3.03376982760041,2.12869352485176,1.73839042045114
"ENSG00000062485.18","CS","protein_coding",0.2973535706819,7.05726840505594,4.67097091995529,3.76215203977396e-06,8.78824943108314e-06,2.6124495346877,7.08547795668324,6.81372024695721
"ENSG00000168461.12","RAB31","protein_coding",-0.533967783473264,6.76614067010649,-4.67042371397573,3.77180830880564e-06,8.81011098938854e-06,2.61379815471696,6.68996043029286,7.43498517012946
"ENSG00000114405.10","C3orf14","protein_coding",0.6935137524996,3.09651035667961,4.67022536724306,3.7753143129404e-06,8.81760457154571e-06,2.93576374842777,3.16870996128168,2.51775884371623
"ENSG00000225190.10","PLEKHM1","protein_coding",-0.368305676855514,5.14447259355001,-4.66999614595555,3.77936996176578e-06,8.82638061749923e-06,2.6374078192517,5.1116074983162,5.44173930189884
"ENSG00000232037.3","RP11-26H16.1","processed_pseudogene",-0.433479870911782,2.64014591978478,-4.66935363930789,3.79076026663623e-06,8.85228336125825e-06,2.90840784059458,2.59164548090286,3.12611501848093
"ENSG00000181450.17","ZNF678","protein_coding",0.369353431849888,3.32678040767466,4.66917595178291,3.79391611612537e-06,8.85895421831434e-06,2.88124392425559,3.36839368334525,2.99978596797413
"ENSG00000274372.4","RP11-94I2.4","lincRNA",1.06251761139463,-3.46354712742692,4.66854792618049,3.80509051980178e-06,8.88434620893151e-06,3.61859686201294,-2.88143838929498,-3.97669582598033
"ENSG00000181638.17","ZFP41","protein_coding",0.458043410958002,3.63943554653076,4.66850777972504,3.80580591682263e-06,8.88531582473392e-06,2.85791543253232,3.70130742019842,3.12951235506564
"ENSG00000261794.1","GOLGA8H","protein_coding",-0.635480837131144,-2.180833880957,-4.66837502807149,3.80817242954248e-06,8.89013980042853e-06,3.32136462669599,-2.043522035284,-1.59014166900187
"ENSG00000145283.7","SLC10A6","protein_coding",-0.846991713592158,-2.85855363339354,-4.66744518303384,3.82478811337879e-06,8.92822493768765e-06,3.379625676683,-2.61114097458191,-1.95745226757212
"ENSG00000280254.1","RP11-81A22.4","TEC",-0.618540847656589,0.812973693573205,-4.6673875633814,3.82582002592862e-06,8.92992965055524e-06,3.0867985960811,0.794708572558979,1.21174022112406
"ENSG00000134873.9","CLDN10","protein_coding",2.11763980116711,1.9750824655494,4.66734677264371,3.82655071056748e-06,8.93093104746243e-06,3.07183497871461,2.21196409696022,0.268562925764562
"ENSG00000168569.7","TMEM223","protein_coding",0.356528591464057,4.99301589608181,4.66588000131175,3.85291429939442e-06,8.9917531726211e-06,2.67311684782873,5.03038378118761,4.67836339095677
"ENSG00000277288.3","C10orf142","protein_coding",-1.10692999130119,-2.51217760710663,-4.66501764400046,3.86849561372521e-06,9.02740451958292e-06,3.28678064086151,-2.29236726119321,-1.25557279592499
"ENSG00000184185.9","KCNJ12","protein_coding",-0.985871944105961,0.343171441340973,-4.66480465916661,3.87235319911238e-06,9.03569426331345e-06,3.08667810809515,0.253229948480425,1.57284243891343
